player,runs_scored,balls_faced,4s,6s,1s,2s,3s,dot_balls,not_out,out_kind,out_to,strike_rate
MR Marsh,65,39,6,4,13,2,0,14,0,caught,Harsh Dubey,166.67
AK Markram,61,38,4,4,19,1,0,10,0,bowled,HV Patel,160.53
RR Pant,7,6,1,0,3,0,0,2,0,caught and bowled,E Malinga,116.67
N Pooran,45,26,6,1,13,1,0,5,0,run out,Nithish Kumar Reddy,173.08
A Badoni,3,5,0,0,3,0,0,2,0,caught,E Malinga,60.0
Abdul Samad,3,6,0,0,3,0,0,3,0,bowled,Nithish Kumar Reddy,50.0
SN Thakur,4,1,1,0,0,0,0,0,0,run out,Nithish Kumar Reddy,400.0
Akash Deep,6,1,0,1,0,0,0,0,1,,,600.0
Atharva Taide,13,9,3,0,1,0,0,5,0,caught,W O'Rourke,144.44
Abhishek Sharma,59,20,4,6,5,1,0,4,0,caught,DS Rathi,295.0
Ishan Kishan,35,28,3,2,9,1,0,13,0,bowled,DS Rathi,125.0
H Klaasen,47,28,4,1,17,4,0,2,0,caught,SN Thakur,167.86
PHKD Mendis,32,21,3,0,10,5,0,3,0,retired hurt,SN Thakur,152.38
Aniket Verma,5,2,1,0,1,0,0,0,1,,,250.0
Nithish Kumar Reddy,5,2,1,0,1,0,0,0,1,,,250.0
