player,legal_balls,runs_conceded,wickets,dot_balls,wides,no_balls,extras_conceded,total_runs_conceded,overs,economy_rate
PJ Cummins,24,33,0,7,1,0,1,34,4.0,8.5
Harsh Dubey,24,43,1,4,1,0,1,44,4.0,11.0
HV Patel,24,44,1,9,3,2,5,49,4.0,12.25
E Malinga,24,28,2,8,0,0,0,28,4.0,7.0
Zeeshan Ansari,12,21,0,0,1,0,1,22,2.0,11.0
Nithish Kumar Reddy,12,25,1,2,3,0,3,28,2.0,14.0
Akash Deep,18,28,0,5,5,0,5,33,3.0,11.0
W O'Rourke,14,31,1,4,0,0,0,31,2.2,13.29
DS Rathi,24,36,2,6,1,0,1,37,4.0,9.25
Avesh Khan,18,23,0,4,2,0,2,25,3.0,8.33
Ravi Bishnoi,6,25,0,1,1,0,1,26,1.0,26.0
AK Markram,6,14,0,1,0,0,0,14,1.0,14.0
SN Thakur,24,39,1,2,0,0,0,39,4.0,9.75
